node_name,process_name,total_start,laststart,,total_fail,lastfail,,,,
fm57-01,durability,1,2022-12-13 08:33:44.303241,,1,2022-12-13 10:32:27.796956,2022-12-13 10:48:00,30/12/99 00:15,,0.082447843924456
fm57-01,networking,56,2022-12-13 10:32:30.237404,,55,2022-12-13 10:32:30.458657,2022-12-14 10:48:00,31/12/99 00:15,,2.5607951101847E-06
fm57-01,ospl,2,2022-12-13 10:36:35.135692,,2,2022-12-13 10:36:36.367793,2022-12-15 10:48:00,01/01/00 00:11,,1.4260433090385E-05
fm57-01,spliced,1,2022-12-13 08:33:44.060833,,1,2022-12-13 10:32:30.829134,2022-12-16 10:48:00,02/01/00 00:15,,0.082485744220321
fm57-02,durability,1,2022-12-13 08:33:42.475285,,1,2022-12-13 10:38:42.795661,,,,
fm57-02,durability,1,2022-12-13 20:43:10.825640,,1,2022-12-13 23:52:44.262141,,,,
fm57-02,ospl,2,2022-12-13 23:54:11.069698,,2,2022-12-13 23:54:12.298879,,,,
fm57-02,spliced,1,2022-12-13 20:43:10.642036,,1,2022-12-13 23:52:55.592886,,,,
fm57-03,ospl,2,2022-12-13 23:40:35.593703,,2,2022-12-13 23:40:36.756779,,,,
fm57-03,spliced,1,2022-12-13 20:43:07.344597,,1,2022-12-13 23:40:14.151343,,,,
fm57-04,durability,2,2022-12-15 03:17:54.793668,,1,2022-12-15 03:27:20.071828,,,,
fm57-05,durability,1,2022-12-13 08:33:42.833412,,1,2022-12-13 10:35:04.861847,,,,
fm57-05,ospl,2,2022-12-13 10:35:15.302231,,2,2022-12-13 10:35:16.492996,,,,
fm57-05,spliced,1,2022-12-13 08:33:42.715611,,1,2022-12-13 10:35:15.399627,,,,
fm57-06,durability,2,2022-12-13 10:36:09.177192,,1,2022-12-13 10:36:47.431478,,,,
fm57-09,durability,1,2022-12-13 20:43:11.382888,,1,2022-12-13 23:35:55.861290,,,,
fm57-09,networking,12,2022-12-13 23:34:48.317233,,12,2022-12-13 23:36:10.767313,,,,
fm57-09,ospl,1,2022-12-13 08:33:42.951188,,1,2022-12-13 10:24:35.939058,,,,
fm57-09,ospl,1,2022-12-13 20:43:10.965797,,1,2022-12-13 23:36:00.976882,,,,
fm57-09,spliced,1,2022-12-13 08:33:43.193739,,1,2022-12-13 10:24:36.044427,,,,
fm57-09,spliced,1,2022-12-13 20:43:11.216022,,1,2022-12-13 23:36:01.058849,,,,
fm57-10,durability,4,2022-12-13 10:35:58.294236,,2,2022-12-13 10:36:03.519621,,,,
fm57-11,durability,1,2022-12-13 08:33:43.447880,,1,2022-12-13 10:36:10.015346,,,,
fm57-c01b,durability,1,2022-12-13 05:04:53.329408,,1,2022-12-13 06:58:59.060364,,,,
fm57-c01b,durability,1,2022-12-13 14:02:48.812415,,1,2022-12-13 15:53:52.708408,,,,
fm57-c01b,durability,2,2022-12-13 18:43:43.932778,,2,2022-12-13 18:54:51.738380,,,,
fm57-c01b,durability,1,2022-12-14 19:57:05.688225,,1,2022-12-14 21:30:16.007962,,,,
fm57-c01b,networking,3,2022-12-13 18:43:43.901698,,2,2022-12-13 18:54:50.548766,,,,
fm57-c01b,ospl,1,2022-12-13 14:02:48.672489,,1,2022-12-13 15:54:07.889833,,,,
fm57-c01b,ospl,2,2022-12-13 18:43:43.797595,,2,2022-12-13 18:54:40.814225,,,,
fm57-c01b,ospl,1,2022-12-14 19:57:05.552076,,1,2022-12-14 21:30:33.011933,,,,
fm57-c01b,spliced,1,2022-12-13 14:02:48.741722,,1,2022-12-13 15:54:07.932223,,,,
fm57-c01b,spliced,2,2022-12-13 18:43:43.871373,,2,2022-12-13 18:54:40.857574,,,,
fm57-c01b,spliced,1,2022-12-14 19:57:05.621798,,1,2022-12-14 21:30:33.028583,,,,
fm57-c02a,durability,2,2022-12-13 10:44:20.737595,,1,2022-12-13 10:47:27.834497,,,,
fm57-c02a,networking,117,2022-12-13 10:44:20.722428,,2,2022-12-13 10:47:25.701758,,,,
fm57-c02a,ospl,2,2022-12-13 10:44:20.670409,,1,2022-12-13 10:47:15.796730,,,,
fm57-c02a,spliced,2,2022-12-13 10:44:20.703053,,1,2022-12-13 10:47:15.820705,,,,
fm57-c02b,durability,1,2022-12-12 20:51:32.443613,,1,2022-12-12 22:41:58.201164,,,,
fm57-c02b,durability,1,2022-12-12 23:38:31.999690,,1,2022-12-13 04:33:21.634254,,,,
fm57-c02b,durability,1,2022-12-13 20:43:12.821443,,1,2022-12-13 23:50:49.122111,,,,
fm57-c02b,ospl,1,2022-12-12 20:51:32.291826,,1,2022-12-12 22:42:02.212222,,,,
fm57-c02b,ospl,1,2022-12-12 23:38:31.840905,,1,2022-12-13 04:33:27.324108,,,,
fm57-c02b,spliced,1,2022-12-12 20:51:32.372984,,1,2022-12-12 22:42:02.249566,,,,
fm57-c02b,spliced,1,2022-12-12 23:38:31.923194,,1,2022-12-13 04:33:27.303593,,,,
fm57-c03b,durability,1,2022-12-12 20:51:32.234197,,1,2022-12-12 22:41:55.863081,,,,
fm57-c03b,durability,1,2022-12-14 13:54:17.874274,,1,2022-12-14 15:50:40.182662,,,,
fm57-c03b,durability,1,2022-12-14 19:57:07.371950,,1,2022-12-14 21:28:28.310004,,,,
fm57-c03b,durability,2,2022-12-15 03:18:00.876120,,2,2022-12-15 03:24:15.493019,,,,
fm57-c03b,ospl,1,2022-12-12 20:51:32.158400,,1,2022-12-12 22:42:01.313377,,,,
fm57-c03b,ospl,1,2022-12-14 13:54:17.804103,,1,2022-12-14 15:50:52.798561,,,,
fm57-c03b,ospl,1,2022-12-14 19:57:07.297485,,1,2022-12-14 21:29:00.570789,,,,
fm57-c03b,spliced,1,2022-12-12 20:51:32.202176,,1,2022-12-12 22:42:01.336995,,,,
fm57-c03b,spliced,1,2022-12-14 13:54:17.838689,,1,2022-12-14 15:50:52.823681,,,,
fm57-c03b,spliced,1,2022-12-14 19:57:07.335296,,1,2022-12-14 21:29:00.559738,,,,
fm57-c04b,durability,1,2022-12-12 20:51:33.605599,,1,2022-12-12 22:41:54.663629,,,,
fm57-c04b,durability,1,2022-12-12 23:38:32.218654,,1,2022-12-13 04:15:46.759146,,,,
fm57-c04b,durability,1,2022-12-13 14:02:50.875890,,1,2022-12-13 15:54:01.525853,,,,
fm57-c04b,durability,1,2022-12-13 17:56:56.794570,,1,2022-12-13 19:00:26.028692,,,,
fm57-c04b,durability,1,2022-12-14 13:54:20.238895,,1,2022-12-14 15:49:24.063891,,,,
fm57-c04b,durability,1,2022-12-14 19:57:10.829555,,1,2022-12-14 21:26:53.302556,,,,
fm57-c04b,networking,1,2022-12-13 14:02:50.853292,,1,2022-12-13 15:54:26.629874,,,,
fm57-c04b,ospl,1,2022-12-12 20:51:33.536216,,1,2022-12-12 22:42:01.577120,,,,
fm57-c04b,ospl,1,2022-12-12 23:38:32.151952,,1,2022-12-13 04:15:53.570501,,,,
fm57-c04b,ospl,1,2022-12-13 14:02:50.794836,,1,2022-12-13 15:54:26.639756,,,,
fm57-c04b,ospl,1,2022-12-13 17:56:56.718230,,1,2022-12-13 19:00:36.520256,,,,
fm57-c04b,ospl,1,2022-12-13 20:43:11.878870,,1,2022-12-13 23:40:23.488794,,,,
fm57-c04b,ospl,1,2022-12-14 13:54:20.157947,,1,2022-12-14 15:49:29.590034,,,,
fm57-c04b,ospl,1,2022-12-14 19:57:10.762495,,1,2022-12-14 21:27:11.455546,,,,
fm57-c04b,spliced,1,2022-12-12 20:51:33.569441,,1,2022-12-12 22:42:01.600718,,,,
fm57-c04b,spliced,1,2022-12-12 23:38:32.188253,,1,2022-12-13 04:15:53.593340,,,,
fm57-c04b,spliced,1,2022-12-13 14:02:50.841013,,1,2022-12-13 15:54:26.660178,,,,
fm57-c04b,spliced,1,2022-12-13 17:56:56.757195,,1,2022-12-13 19:00:36.544353,,,,
fm57-c04b,spliced,1,2022-12-13 20:43:11.928555,,1,2022-12-13 23:40:23.478679,,,,
fm57-c04b,spliced,1,2022-12-14 13:54:20.199285,,1,2022-12-14 15:49:29.575791,,,,
fm57-c04b,spliced,1,2022-12-14 19:57:10.798664,,1,2022-12-14 21:27:11.479735,,,,
fm57-c06b,durability,1,2022-12-12 20:51:33.920435,,1,2022-12-12 22:41:55.825868,,,,
fm57-c06b,durability,1,2022-12-12 23:38:33.083127,,1,2022-12-13 04:15:48.435187,,,,
fm57-c06b,durability,1,2022-12-13 14:02:49.678858,,1,2022-12-13 15:54:22.421831,,,,
fm57-c06b,durability,1,2022-12-13 20:43:10.334966,,1,2022-12-13 23:47:59.937735,,,,
fm57-c06b,durability,1,2022-12-14 19:57:05.492309,,1,2022-12-14 21:30:26.294352,,,,
fm57-c06b,durability,3,2022-12-15 03:19:29.217166,,3,2022-12-15 03:24:24.331410,,,,
fm57-c06b,ospl,1,2022-12-12 20:51:33.846810,,1,2022-12-12 22:42:01.413782,,,,
fm57-c06b,ospl,1,2022-12-13 14:02:49.605251,,1,2022-12-13 15:54:33.372223,,,,
fm57-c06b,ospl,1,2022-12-13 20:43:10.266503,,1,2022-12-13 23:48:07.883669,,,,
fm57-c06b,ospl,1,2022-12-14 19:57:05.429987,,1,2022-12-14 21:30:41.861276,,,,
fm57-c06b,spliced,1,2022-12-12 20:51:33.884916,,1,2022-12-12 22:42:01.437963,,,,
fm57-c06b,spliced,1,2022-12-13 14:02:49.641015,,1,2022-12-13 15:54:33.392940,,,,
fm57-c06b,spliced,1,2022-12-13 20:43:10.298288,,1,2022-12-13 23:48:07.908776,,,,
fm57-c06b,spliced,1,2022-12-14 19:57:05.460138,,1,2022-12-14 21:30:41.881544,,,,
fm57-c07a,durability,1,2022-12-13 20:43:10.714648,,1,2022-12-14 00:01:16.019538,,,,
fm57-c07a,ospl,1,2022-12-13 08:33:45.783007,,1,2022-12-13 10:31:56.747381,,,,
fm57-c07a,spliced,1,2022-12-13 08:33:45.823678,,1,2022-12-13 10:31:56.771792,,,,
fm57-c07b,durability,1,2022-12-12 23:38:33.958153,,1,2022-12-13 04:15:49.718743,,,,
fm57-c07b,durability,1,2022-12-13 17:56:57.659561,,1,2022-12-13 18:47:51.160555,,,,
fm57-c07b,durability,1,2022-12-13 20:43:13.057975,,1,2022-12-13 23:41:54.421568,,,,
fm57-c07b,durability,1,2022-12-14 09:15:46.395147,,1,2022-12-14 12:53:28.822203,,,,
fm57-c07b,durability,1,2022-12-14 13:54:18.232237,,1,2022-12-14 15:49:20.422931,,,,
fm57-c07b,durability,1,2022-12-14 19:57:07.712921,,1,2022-12-14 21:26:37.045683,,,,
fm57-c07b,durability,2,2022-12-15 03:17:51.888460,,2,2022-12-15 03:24:14.768141,,,,
fm57-c07b,networking,2,2022-12-15 03:17:51.874304,,1,2022-12-15 03:24:43.961877,,,,
fm57-c07b,ospl,1,2022-12-12 23:38:33.889302,,1,2022-12-13 04:16:20.616388,,,,
fm57-c07b,ospl,1,2022-12-13 17:56:57.591761,,1,2022-12-13 18:48:08.157394,,,,
fm57-c07b,ospl,1,2022-12-13 20:43:12.988255,,1,2022-12-13 23:44:33.369103,,,,
fm57-c07b,ospl,1,2022-12-14 09:15:46.320462,,1,2022-12-14 12:53:34.298645,,,,
fm57-c07b,ospl,1,2022-12-14 13:54:18.173049,,1,2022-12-14 15:49:24.851594,,,,
fm57-c07b,ospl,1,2022-12-14 19:57:07.640263,,1,2022-12-14 21:26:55.895908,,,,
fm57-c07b,ospl,2,2022-12-15 03:17:51.819002,,2,2022-12-15 03:24:43.928246,,,,
fm57-c07b,spliced,1,2022-12-12 23:38:33.925958,,1,2022-12-13 04:16:20.641615,,,,
fm57-c07b,spliced,1,2022-12-13 17:56:57.625375,,1,2022-12-13 18:48:08.148468,,,,
fm57-c07b,spliced,1,2022-12-13 20:43:13.023504,,1,2022-12-13 23:44:33.392680,,,,
fm57-c07b,spliced,1,2022-12-14 09:15:46.361615,,1,2022-12-14 12:53:34.285815,,,,
fm57-c07b,spliced,1,2022-12-14 13:54:18.202827,,1,2022-12-14 15:49:24.881548,,,,
fm57-c07b,spliced,1,2022-12-14 19:57:07.672133,,1,2022-12-14 21:26:55.918095,,,,
fm57-c07b,spliced,2,2022-12-15 03:17:51.855959,,2,2022-12-15 03:24:43.948981,,,,
fm57-c08a,ospl,1,2022-12-13 08:33:47.457962,,1,2022-12-13 10:31:47.162673,,,,
fm57-c08a,spliced,1,2022-12-13 08:33:47.498143,,1,2022-12-13 10:31:47.179405,,,,
fm57-c08b,durability,1,2022-12-12 20:51:34.551045,,1,2022-12-12 22:41:55.105819,,,,
fm57-c08b,durability,1,2022-12-12 23:38:33.952186,,1,2022-12-13 04:15:47.877847,,,,
fm57-c08b,durability,1,2022-12-13 08:33:46.129261,,1,2022-12-13 10:31:20.148439,,,,
fm57-c08b,durability,1,2022-12-13 14:02:51.159096,,1,2022-12-13 15:43:26.488523,,,,
fm57-c08b,durability,1,2022-12-13 17:56:57.116857,,1,2022-12-13 19:00:44.820180,,,,
fm57-c08b,durability,1,2022-12-13 20:43:11.937798,,1,2022-12-13 23:48:44.327604,,,,
fm57-c08b,durability,1,2022-12-14 13:54:20.009903,,1,2022-12-14 15:49:21.833150,,,,
fm57-c08b,durability,1,2022-12-14 19:57:10.797527,,1,2022-12-14 21:28:02.323999,,,,
fm57-c08b,networking,1,2022-12-13 08:33:46.110504,,1,2022-12-13 10:31:36.652341,,,,
fm57-c08b,ospl,1,2022-12-12 20:51:34.478596,,1,2022-12-12 22:42:00.685160,,,,
fm57-c08b,ospl,1,2022-12-12 23:38:33.859933,,1,2022-12-13 04:15:59.252418,,,,
fm57-c08b,ospl,1,2022-12-13 08:33:46.048775,,1,2022-12-13 10:31:36.664000,,,,
fm57-c08b,ospl,1,2022-12-13 14:02:51.069169,,1,2022-12-13 15:43:35.454041,,,,
fm57-c08b,ospl,1,2022-12-13 17:56:57.018627,,1,2022-12-13 19:01:09.798719,,,,
fm57-c08b,ospl,1,2022-12-14 13:54:19.931946,,1,2022-12-14 15:49:26.239042,,,,
fm57-c08b,ospl,1,2022-12-14 19:57:10.725277,,1,2022-12-14 21:28:21.216882,,,,
fm57-c08b,spliced,1,2022-12-12 20:51:34.518534,,1,2022-12-12 22:42:00.692436,,,,
fm57-c08b,spliced,1,2022-12-12 23:38:33.909524,,1,2022-12-13 04:15:59.272524,,,,
fm57-c08b,spliced,1,2022-12-13 08:33:46.094357,,1,2022-12-13 10:31:36.687690,,,,
fm57-c08b,spliced,1,2022-12-13 14:02:51.116959,,1,2022-12-13 15:43:35.474129,,,,
fm57-c08b,spliced,1,2022-12-13 17:56:57.070788,,1,2022-12-13 19:01:09.819593,,,,
fm57-c08b,spliced,1,2022-12-14 13:54:19.973247,,1,2022-12-14 15:49:26.260497,,,,
fm57-c08b,spliced,1,2022-12-14 19:57:10.765445,,1,2022-12-14 21:28:21.205905,,,,
fm57-c09b,durability,1,2022-12-12 20:51:36.186868,,1,2022-12-12 22:41:56.767132,,,,
fm57-c09b,durability,1,2022-12-12 23:38:34.894204,,1,2022-12-13 04:16:04.880543,,,,
fm57-c09b,durability,1,2022-12-13 17:56:58.154465,,1,2022-12-13 18:55:37.492459,,,,
fm57-c09b,durability,2,2022-12-13 21:15:57.285816,,1,2022-12-13 23:52:37.329349,,,,
fm57-c09b,durability,1,2022-12-14 13:54:21.280163,,1,2022-12-14 15:49:21.527757,,,,
fm57-c09b,durability,1,2022-12-14 19:57:10.394016,,1,2022-12-14 21:41:35.145139,,,,
fm57-c09b,durability,3,2022-12-15 03:17:32.469797,,2,2022-12-15 03:24:13.944902,,,,
fm57-c09b,networking,1,2022-12-12 23:38:34.876874,,1,2022-12-13 04:16:41.175621,,,,
fm57-c09b,ospl,1,2022-12-12 20:51:36.115215,,1,2022-12-12 22:42:01.296131,,,,
fm57-c09b,ospl,1,2022-12-12 23:38:34.818550,,1,2022-12-13 04:16:42.319962,,,,
fm57-c09b,ospl,1,2022-12-13 17:56:58.079078,,1,2022-12-13 18:55:54.590394,,,,
fm57-c09b,ospl,1,2022-12-14 13:54:21.200911,,1,2022-12-14 15:49:27.389821,,,,
fm57-c09b,ospl,1,2022-12-14 19:57:10.315233,,1,2022-12-14 21:41:52.913630,,,,
fm57-c09b,ospl,3,2022-12-15 03:17:32.379090,,2,2022-12-15 03:24:22.813786,,,,
fm57-c09b,spliced,1,2022-12-12 20:51:36.152550,,1,2022-12-12 22:42:01.315797,,,,
fm57-c09b,spliced,1,2022-12-12 23:38:34.859964,,1,2022-12-13 04:16:42.307031,,,,
fm57-c09b,spliced,1,2022-12-13 17:56:58.121310,,1,2022-12-13 18:55:54.611878,,,,
fm57-c09b,spliced,1,2022-12-14 13:54:21.235446,,1,2022-12-14 15:49:26.282765,,,,
fm57-c09b,spliced,1,2022-12-14 19:57:10.354361,,1,2022-12-14 21:41:52.903066,,,,
fm57-c09b,spliced,3,2022-12-15 03:17:32.425224,,2,2022-12-15 03:24:22.836595,,,,
fm57-t01,durability,1,2022-12-13 08:33:47.462706,,1,2022-12-13 10:32:39.449784,,,,
